CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
662026726,06/26/2016,11:00:00,,,06/26/2018,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,26,INSIDE,PUBLIC SCHOOL,,,"997,334","237,085",40.81741779600002,-73.95273136799993,"(40.81741779600002, -73.95273136799993)"
295220707,06/26/2016,12:10:00,06/26/2018,13:05:00,06/26/2018,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,GYM/FITNESS FACILITY,,,"987,583","210,248",40.74376638800004,-73.98797324599997,"(40.74376638800004, -73.98797324599997)"
726087613,06/29/2016,12:00:00,08/03/2016,12:35:00,08/03/2018,109,GRAND LARCENY,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,JEWELRY,,,"990,251","215,062",40.756978196000034,-73.97834061299993,"(40.756978196000034, -73.97834061299993)"
323838247,06/30/2016,14:00:00,07/25/2018,12:00:00,08/16/2018,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,003,960","248,780",40.84950489800008,-73.92875849699995,"(40.84950489800008, -73.92875849699995)"
583959548,07/01/2016,09:00:00,12/29/2017,14:16:00,01/02/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"999,358","222,038",40.77611463900007,-73.94545288099994,"(40.77611463900007, -73.94545288099994)"
202864689,07/01/2016,09:02:00,02/09/2018,08:45:00,02/09/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,"991,583","208,144",40.737989018000064,-73.97354025099996,"(40.737989018000064, -73.97354025099996)"
980268220,07/01/2016,08:00:00,07/31/2016,20:00:00,03/17/2018,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,002,644","250,694",40.85476109900002,-73.93351000399997,"(40.85476109900002, -73.93351000399997)"
138922506,07/01/2016,00:01:00,07/31/2016,23:59:00,07/24/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"994,276","218,779",40.76717676000004,-73.96380668299997,"(40.76717676000004, -73.96380668299997)"
980866933,07/02/2016,19:00:00,09/30/2016,12:00:00,03/07/2018,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,26,INSIDE,RESIDENCE - APT. HOUSE,,,"996,463","235,457",40.812950638000075,-73.95588109399995,"(40.812950638000075, -73.95588109399995)"
213107409,07/05/2016,00:01:00,07/05/2018,23:39:00,07/06/2018,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,23,INSIDE,RESIDENCE - PUBLIC HOUSING,,,"998,700","228,774",40.794604263000046,-73.94781414999993,"(40.794604263000046, -73.94781414999993)"
